"filename", "language", "C++", "comment", "blank", "total"
"d:\Warehouse\Project\H-Homework\Project6\Group.cpp", "C++", 2, 8, 8, 18
"d:\Warehouse\Project\H-Homework\Project6\Student.h", "C++", 3, 0, 0, 3
"d:\Warehouse\Project\H-Homework\Project6\StudentVector.cpp", "C++", 0, 1, 0, 1
"d:\Warehouse\Project\H-Homework\Project6\World.cpp", "C++", 32, 8, 1, 41
"d:\Warehouse\Project\H-Homework\Project6\main.cpp", "C++", 0, -8, 0, -8
"Total", "-", 37, 9, 9, 55
