"filename", "language", "C++", "comment", "blank", "total"
"d:\Warehouse\Project\H-Homework\Project6\Group.cpp", "C++", -5, -4, -1, -10
"d:\Warehouse\Project\H-Homework\Project6\StudentVector.cpp", "C++", 52, 6, 13, 71
"d:\Warehouse\Project\H-Homework\Project6\StudentVector.h", "C++", 3, 1, 0, 4
"Total", "-", 50, 3, 12, 65
