"filename", "language", "C++", "comment", "blank", "total"
"d:\Warehouse\Project\H-Homework\Project6\Group.cpp", "C++", 10, -2, 0, 8
"d:\Warehouse\Project\H-Homework\Project6\StudentVector.cpp", "C++", 6, 2, 2, 10
"d:\Warehouse\Project\H-Homework\Project6\StudentVector.h", "C++", 1, 0, 0, 1
"d:\Warehouse\Project\H-Homework\Project6\Utils.h", "C++", 5, 0, 2, 7
"d:\Warehouse\Project\H-Homework\Project6\World.cpp", "C++", 7, 0, 5, 12
"d:\Warehouse\Project\H-Homework\Project6\World.h", "C++", 4, 0, 0, 4
"Total", "-", 33, 0, 9, 42
