"filename", "language", "C++", "comment", "blank", "total"
"d:\Warehouse\Project\H-Homework\Project6\Group.cpp", "C++", -2, 7, 0, 5
"d:\Warehouse\Project\H-Homework\Project6\Student.cpp", "C++", 22, -2, 4, 24
"d:\Warehouse\Project\H-Homework\Project6\Student.h", "C++", -2, -1, 1, -2
"d:\Warehouse\Project\H-Homework\Project6\StudentVector.cpp", "C++", 12, 0, -2, 10
"d:\Warehouse\Project\H-Homework\Project6\World.cpp", "C++", 1, 1, 0, 2
"d:\Warehouse\Project\H-Homework\Project6\main.cpp", "C++", 0, 4, 3, 7
"Total", "-", 31, 9, 6, 46
