"filename", "language", "C++", "comment", "blank", "total"
"d:\Warehouse\Project\H-Homework\Project10-BlueAlert\Engine\Core\Component\Debug.cpp", "C++", 2, 0, 0, 2
"d:\Warehouse\Project\H-Homework\Project10-BlueAlert\Engine\Core\Component\Debug.h", "C++", 60, 2, 13, 75
"d:\Warehouse\Project\H-Homework\Project10-BlueAlert\Engine\Core\Component\Script.h", "C++", 14, 7, 9, 30
"d:\Warehouse\Project\H-Homework\Project10-BlueAlert\Engine\Core\Scene\Scene.h", "C++", 12, 2, 3, 17
"d:\Warehouse\Project\H-Homework\Project10-BlueAlert\Engine\Debug\Debug.cpp", "C++", -4, -1, -1, -6
"d:\Warehouse\Project\H-Homework\Project10-BlueAlert\Engine\Debug\Debug.h", "C++", -41, 0, -9, -50
"d:\Warehouse\Project\H-Homework\Project10-BlueAlert\main.cpp", "C++", 4, 0, -1, 3
"Total", "-", 47, 10, 14, 71
